all,All,Alles
apply,Apply,Toepassen
archive,Archive,Archiveren
archived,Archived,Gearchiveerde
attachments,Attachments,Bijlagen
back,Back,Terug
challenge,Challenge,Uitdaging
challenges,Challenges,Uitdagingen
close,Close,Sluiten
closed,Closed,Gesloten
create,Create,Aanmaken
current,Current,Huidige
description,Description,Omschrijving
edit,Edit,Wijzig
emailAddress,Email address,Email adres
end,End,Einde
event,Event,Evenement
favorite,Favorite,Favoriete
filter,Filter,Filter
firstName,First name,Voornaam
lastName,Last name,Achternaam
link,Link,Link
meeting,Meeting,Bijeenkomst
moderators,Moderators,Moderators
more,More,Meer
name,Name,Naam
nominate,Nominate,Nomineren
offices,Offices,Kantoren
optional,Optional,Optioneel
participants,Participants,Deelnemers
password,Password,Wachtwoord
search,Search,Zoeken
select,Select,Selecteren
selection,Selection,Selectie
start,Start,Begin
subjects,Subjects,Subjects [NL]
surname,Surname,Achternaam
team,Team,Team
timeline,Timeline,Tijdlijn
upcoming,Upcoming,Aankomende

about--hero--title,THE OPEN INNOVATION PLATFORM FOR BUSINESS,HÉT OPEN INNOVATIEPLATFORM VOOR ONDERNEMERS
about--hero--subtitle,Corporates with challenges and innovative SMEs with expertise. The Chamber of Commerce brings them together on one platform to develop new business.,Corporates met vraagstukken en innovatieve MKB’ers met slimme oplossingen. KVK brengt ze samen op één platform om nieuwe business te ontwikkelen.
about--content--title-1,Easy access to corporates,Kom gemakkelijk in contact met corporates
about--content--paragraph-1,"KVK Business Challenge brings corporates and SMEs together online and in person, enabling the collaborative development of innovative new business. Do you want more turnover and growth? And do you think your business can help to solve challenges that corporates are facing? If so, respond to the challenges and you may well find yourself doing business with one of the participating companies. Every month, we post new challenges online.","KVK Business Challenge brengt corporates en mkb’ers online én fysiek met elkaar in contact om samen innovatieve, nieuwe business te ontwikkelen. Wil jij meer omzet en groei? En denk je dat jouw bedrijf een bijdrage kan leveren aan de uitdagingen waar corporates tegenaan lopen? Reageer dan online op de challenge en wie weet zit jij straks aan tafel met een van de deelnemende bedrijven. Elke maand staan er weer nieuwe challenges online."
about--faq--title,FREQUENTLY ASKED QUESTIONS,VEELGESTELDE VRAGEN
about--faq--q-1,What does registering for KVK Business Challenge involve?,Wat houdt aanmelden voor KVK Business Challenge in?
about--faq--a-1--paragraph-1,"Register your email address and you won't miss anything. You receive updates about new challenges and can participate as much as you like. You are free to decide which challenges suit you and whether you want to get in touch with the corporate.","Door je aan te melden met je e-mailadres mis je niets. Je ontvangt updates van nieuwe challenges en kunt onbeperkt meedoen. Je bepaalt zelf welke challenge bij je past en of je in contact wil komen met de corporate."
about--faq--a-1--paragraph-2,"You will receive email updates with useful information about new challenges and relevant information about innovation. Registration is free, with no conditions attached.",Je ontvangt wekelijks per mail een update met handige informatie over nieuwe challenges en relevante informatie over innovatie. Aanmelden is gratis en er zitten geen voorwaarden aan verbonden.
about--faq--a-1--paragraph-3,"KVK Business Challenge is not for everyone. It is important for you to make a truly innovative contribution, not something that has already been thought of. Do you have what it takes to tackle the challenges that corporates are struggling with? Do you have the essential know-how? If so, register now.",KVK Business Challenge is niet voor iedereen geschikt. Het is belangrijk dat je écht een innovatieve bijdrage levert; niet iets waar al aan gedacht is. Heb jij het in je om bij te dragen aan uitdagingen waar corporates mee worstelen? Heb jij verstand van zaken? Meld je dan snel aan.
about--faq--q-2,How does KVK Business Challenge work?,Hoe werkt KVK Business Challenge?
